GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce,com.udacity.ecommerce.model.requests,CreateUserRequest,145,24,30,0,0,4,19,7,4,7
ecommerce,com.udacity.ecommerce.model.requests,ModifyCartRequest,119,24,18,0,0,4,13,7,4,7
ecommerce,com.udacity.ecommerce,SaritaApplication,5,7,0,0,2,2,1,2,1,2
ecommerce,com.udacity.ecommerce.controllers,UserController,0,131,0,12,0,33,0,12,0,6
ecommerce,com.udacity.ecommerce.controllers,ItemController,0,33,0,4,0,8,0,6,0,4
ecommerce,com.udacity.ecommerce.controllers,OrderController,0,65,0,4,0,19,0,6,0,4
ecommerce,com.udacity.ecommerce.controllers,CartController,0,114,0,8,0,27,0,9,0,5
ecommerce,com.udacity.ecommerce.security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
ecommerce,com.udacity.ecommerce.security,JWTAuthenticationFilter,59,6,0,0,13,3,2,1,2,1
ecommerce,com.udacity.ecommerce.security,UserDetailsServiceImpl,21,6,2,0,7,3,2,1,1,1
ecommerce,com.udacity.ecommerce.security,JWTAuthenticationVerificationFilter,60,4,8,0,18,2,6,1,2,1
ecommerce,com.udacity.ecommerce.security,WebSecurityConfiguration,0,60,0,0,0,14,0,4,0,4
ecommerce,com.udacity.ecommerce.model.persistence,Item,87,27,13,1,18,4,12,7,5,7
ecommerce,com.udacity.ecommerce.model.persistence,UserOrder,188,46,38,0,1,9,25,8,6,8
ecommerce,com.udacity.ecommerce.model.persistence,User,167,36,31,1,0,5,19,10,3,10
ecommerce,com.udacity.ecommerce.model.persistence,Cart,206,66,42,4,5,14,28,10,5,10
